GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,AST_home,AST_away,REB_home,REB_away,FG_PCT_home,FG_PCT_away,FG3_PCT_home,FG3_PCT_away,FT_PCT_home,FT_PCT_away,IS_HOME,GSW_WIN,GSW_AST,GSW_REB,GSW_FG_PCT,GSW_FG3_PCT,GSW_FT_PCT
22100720,2022-01-25,1610612744,1610612742,130.0,92.0,31.0,17.0,58.0,39.0,0.533,0.352,0.395,0.25,0.833,1.0,True,True,31.0,58.0,0.533,0.395,0.833
22100708,2022-01-23,1610612744,1610612762,94.0,92.0,19.0,17.0,40.0,51.0,0.434,0.383,0.31,0.314,0.9,0.826,True,True,19.0,40.0,0.434,0.31,0.9
22100694,2022-01-21,1610612744,1610612745,105.0,103.0,25.0,25.0,41.0,39.0,0.481,0.427,0.333,0.286,0.773,0.85,True,True,25.0,41.0,0.481,0.333,0.773
22100683,2022-01-20,1610612744,1610612754,117.0,121.0,28.0,23.0,53.0,48.0,0.447,0.432,0.214,0.429,0.828,0.706,True,False,28.0,53.0,0.447,0.214,0.828
22100667,2022-01-18,1610612744,1610612765,102.0,86.0,26.0,18.0,54.0,50.0,0.41,0.353,0.333,0.265,0.741,0.708,True,True,26.0,54.0,0.41,0.333,0.741
22100652,2022-01-16,1610612750,1610612744,119.0,99.0,30.0,20.0,47.0,47.0,0.495,0.39,0.372,0.31,0.65,0.759,False,False,20.0,47.0,0.39,0.31,0.759
22100637,2022-01-14,1610612741,1610612744,96.0,138.0,26.0,39.0,36.0,47.0,0.425,0.564,0.263,0.452,0.667,0.765,False,True,39.0,47.0,0.564,0.452,0.765
22100627,2022-01-13,1610612749,1610612744,118.0,99.0,29.0,20.0,54.0,49.0,0.512,0.347,0.439,0.333,0.667,0.708,False,False,20.0,49.0,0.347,0.333,0.708
22100614,2022-01-11,1610612763,1610612744,116.0,108.0,30.0,25.0,49.0,45.0,0.44,0.427,0.412,0.361,0.778,0.862,False,False,25.0,45.0,0.427,0.361,0.862
22100604,2022-01-09,1610612744,1610612739,96.0,82.0,24.0,21.0,54.0,42.0,0.402,0.427,0.238,0.292,0.8,0.611,True,True,24.0,54.0,0.402,0.238,0.8
